transaction_id,sale_date_str,customer_email,product_category,product_name,sales_rep,quantity,unit_price,discount_percent,total_amount,payment_method,order_priority,is_weekend,is_month_end,is_holiday_season,is_high_value_customer,is_at_risk_customer,is_vip_customer,is_bulk_purchase,is_high_discount_sale,is_premium_product,is_weekend_sale,is_holiday_season_sale,is_new_customer,is_repeat_customer,is_high_margin_sale,is_large_transaction,is_electronics_purchase,is_urgent_order,is_enterprise_customer
TXN000016,2024-02-29,brownjessica@example.org,Home & Garden,Cookware,Daniel Wagner,1,546.86,29.5,385.54,Cash,Medium,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
TXN000017,2024-07-29,joshuawright@example.org,Books,Biography,Margaret Hawkins Dds,8,27.49,27.7,159.0,Credit Card,Low,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000019,2024-03-12,martinaaron@example.com,Clothing,Jeans,Brian Ramirez,10,224.69,1.8,2206.46,Bank Transfer,Medium,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
TXN000020,2023-10-04,smoore@example.org,Electronics,Camera,Carla Gray,10,182.52,25.9,1352.47,Bank Transfer,Low,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
TXN000021,2023-12-20,williamsthomas@example.net,Sports,Soccer Ball,Patty Perez,5,118.04,21.5,463.31,Debit Card,High,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
TXN000022,2024-06-28,larsonemma@example.org,Electronics,Laptop,Gina Moore,2,192.86,6.4,361.03,Credit Card,Medium,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
TXN000023,2024-11-01,harveyrobert@example.net,Sports,Bicycle,Gabrielle Davis,11,273.89,20.0,2410.23,Debit Card,Medium,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
TXN000024,2025-01-02,john62@example.net,Home & Garden,Plant,Angie Henderson,4,557.81,25.6,1660.04,Credit Card,Low,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
TXN000025,2023-11-05,smithchristine@example.net,Electronics,Tablet,Angie Henderson,5,365.08,13.3,1582.62,Credit Card,Low,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
TXN000026,2023-12-20,nicole35@example.com,Home & Garden,Bedding,Abigail Shaffer,1,263.9,27.0,192.65,Cash,Low,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
TXN000027,2023-11-08,contrerasangela@example.net,Home & Garden,Decor,Michele Williams,10,605.85,27.8,4374.24,Debit Card,High,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
TXN000028,2024-12-01,newtoneric@example.com,Sports,Soccer Ball,Gina Moore,5,96.41,21.0,380.82,Paypal,High,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
TXN000029,2024-12-24,william40@example.org,Home & Garden,Decor,Jamie Arnold,1,536.53,12.0,472.15,Cash,High,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
TXN000030,2024-07-28,danagreen@example.net,Electronics,Laptop,Tommy Walter,10,1926.94,8.0,17727.85,Cash,Low,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0
TXN000031,2024-10-16,landryhannah@example.org,Sports,Bicycle,Michele Williams,9,349.69,28.2,2259.7,Cash,High,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1
TXN000032,2025-07-18,tanderson@example.com,Books,Textbook,Cristian Santos,5,45.5,20.0,182.0,Bank Transfer,Urgent,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
TXN000033,2025-04-16,jason31@example.com,Clothing,Jacket,Dylan Miller,1,101.6,6.3,95.2,Paypal,Medium,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
TXN000034,2025-05-02,sarayoung@example.org,Books,Biography,Matthew Foster,12,21.88,2.5,256.0,Credit Card,High,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
TXN000035,2023-12-21,kimberly63@example.com,Clothing,Shorts,Brian Ramirez,8,189.21,23.1,1164.02,Paypal,Medium,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
TXN000036,2024-04-13,dwalker@example.com,Electronics,Monitor,Derek Zuniga,7,476.74,24.1,2532.92,Credit Card,Urgent,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0
TXN000037,2025-04-11,raymondramirez@example.org,Clothing,Shorts,Derek Zuniga,9,184.7,28.5,1188.54,Paypal,Urgent,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
TXN000038,2024-11-12,sheila14@example.org,Sports,Yoga Mat,Angie Henderson,5,387.59,15.6,1635.63,Paypal,High,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0
TXN000039,2024-07-23,yreed@example.com,Home & Garden,Plant,Michele Williams,3,204.23,20.8,485.25,Paypal,Urgent,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
TXN000040,2024-09-26,jonathanfletcher@example.org,Sports,Basketball,Allison Hill,10,474.11,0.6,4712.65,Paypal,Urgent,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
TXN000041,2025-08-04,michaeljones@example.net,Sports,Bicycle,Lisa Hensley,10,450.95,14.6,3851.11,Credit Card,Urgent,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1
TXN000042,2025-02-11,william65@example.com,Clothing,Shorts,Margaret Hawkins Dds,10,167.23,27.2,1217.43,Credit Card,Urgent,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
TXN000043,2024-11-04,lbyrd@example.net,Clothing,T-Shirt,Angie Henderson,8,108.15,22.8,667.93,Cash,Low,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
TXN000044,2024-04-26,jason99@example.net,Home & Garden,Lamp,Cristian Santos,11,56.2,0.9,612.64,Bank Transfer,Urgent,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
TXN000045,2023-12-29,yleon@example.net,Electronics,Camera,Ryan Munoz,5,1545.45,5.0,7340.89,Debit Card,Low,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1
TXN000046,2025-05-07,clarence34@example.org,Home & Garden,Bedding,Ethan Adams,7,754.64,5.9,4970.81,Credit Card,Low,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
TXN000048,2025-01-10,psnyder@example.org,Sports,Tennis Racket,Tommy Walter,5,315.64,27.6,1142.62,Paypal,High,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000049,2024-09-25,osbornejeffery@example.net,Clothing,Shorts,Allison Hill,8,84.5,13.9,582.04,Cash,Medium,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
TXN000050,2024-10-05,bryantlaurie@example.net,Sports,Tennis Racket,Abigail Shaffer,5,442.55,21.0,1748.07,Bank Transfer,Urgent,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0
TXN000052,2024-08-30,maryramirez@example.net,Books,Cookbook,Daniel Wagner,9,33.16,21.1,235.47,Debit Card,Low,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000053,2023-10-21,jimmy55@example.net,Books,Manual,Abigail Shaffer,8,29.35,17.7,193.24,Credit Card,High,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
TXN000054,2025-02-18,edwardreyes@example.org,Clothing,Dress,Daniel Wagner,5,27.97,1.6,137.61,Paypal,High,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
TXN000055,2024-06-17,nperry@example.com,Sports,Weights,Brian Ramirez,1,141.19,25.9,104.62,Paypal,Low,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
TXN000056,2025-03-27,wwoods@example.com,Clothing,Jeans,Lisa Hensley,2,298.27,3.6,575.06,Bank Transfer,High,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
TXN000057,2023-09-11,tracynelson@example.com,Books,Biography,Patty Perez,10,77.21,3.0,748.94,Cash,Medium,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
TXN000058,2024-10-07,marycalhoun@example.net,Clothing,Jacket,Patty Perez,5,24.3,8.6,111.05,Credit Card,Medium,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
TXN000059,2024-01-08,millerroy@example.com,Sports,Basketball,Tommy Walter,5,416.78,2.1,2040.14,Bank Transfer,Urgent,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0
TXN000060,2024-03-02,matthew64@example.com,Electronics,Headphones,Tommy Walter,5,1025.92,14.8,4370.42,Paypal,High,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
TXN000061,2023-10-12,cookemichael@example.net,Electronics,Laptop,Noah Rhodes,10,1194.89,0.6,11877.21,Bank Transfer,Urgent,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
TXN000062,2024-02-21,jamessmith@example.org,Home & Garden,Lamp,Connie Lawrence,8,776.02,14.1,5332.81,Credit Card,Urgent,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
TXN000063,2023-12-28,stevenscott@example.com,Home & Garden,Furniture,Holly Wood,9,53.44,2.6,468.46,Paypal,Urgent,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1
TXN000064,2025-08-10,tamirodriguez@example.org,Sports,Basketball,Dylan Miller,8,320.2,22.8,1977.56,Cash,Low,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
TXN000065,2024-11-21,mdavid@example.org,Books,Non-Fiction,Daniel Wagner,1,48.66,2.8,47.3,Paypal,High,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
TXN000066,2025-04-18,melissa91@example.net,Books,Manual,Angie Henderson,8,27.06,16.5,180.76,Debit Card,High,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
TXN000067,2025-05-19,huntermatthew@example.com,Books,Textbook,Derek Zuniga,5,68.62,17.4,283.4,Paypal,High,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0
TXN000068,2025-03-11,bzimmerman@example.org,Books,Cookbook,Monica Herrera,4,78.65,7.2,291.95,Credit Card,Urgent,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1
TXN000069,2024-03-15,umarshall@example.net,Sports,Soccer Ball,Dylan Miller,3,257.76,1.1,764.77,Credit Card,Urgent,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
TXN000070,2024-12-06,nicole37@example.net,Electronics,Smart Watch,Monica Herrera,3,195.92,23.4,450.22,Credit Card,High,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
TXN000071,2024-05-10,hunter35@example.com,Sports,Bicycle,Daniel Wagner,11,348.51,8.6,3503.92,Paypal,Medium,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
TXN000072,2025-03-01,blackjames@example.org,Home & Garden,Sofa,Patty Perez,5,302.81,12.9,1318.74,Bank Transfer,Medium,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
TXN000073,2025-04-26,fbrewer@example.com,Electronics,Camera,Gabrielle Davis,4,1020.45,17.5,3367.48,Paypal,High,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0
TXN000074,2024-10-22,kevinperkins@example.com,Books,Non-Fiction,Abigail Shaffer,10,30.94,28.9,219.98,Cash,Low,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000075,2024-03-02,michael74@example.com,Clothing,Shoes,Lisa Jackson,12,99.14,29.3,841.1,Credit Card,Urgent,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1
TXN000076,2025-03-04,jamesrodgers@example.com,Home & Garden,Decor,Margaret Hawkins Dds,6,194.73,5.7,1101.78,Credit Card,Urgent,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
TXN000077,2024-01-06,wallkenneth@example.com,Electronics,Camera,Holly Wood,5,687.1,12.5,3006.06,Cash,Medium,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0
TXN000078,2023-11-26,mccannangela@example.net,Home & Garden,Decor,Matthew Foster,5,603.58,10.2,2710.07,Debit Card,Urgent,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1
TXN000079,2024-05-10,andrewstaylor@example.com,Books,Textbook,Lisa Hensley,5,47.56,13.6,205.46,Bank Transfer,Medium,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
TXN000080,2024-09-04,ewilson@example.com,Sports,Basketball,Margaret Hawkins Dds,6,459.32,6.6,2574.03,Cash,Medium,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
TXN000081,2024-02-28,lisaavery@example.org,Electronics,Laptop,Michele Williams,2,507.86,16.1,852.19,Bank Transfer,Medium,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1
TXN000082,2024-04-06,kimberlyjames@example.com,Sports,Soccer Ball,Dylan Miller,7,470.75,8.4,3018.45,Paypal,Low,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0
TXN000083,2024-12-17,lynchjody@example.org,Home & Garden,Bedding,Patty Perez,1,333.56,5.7,314.55,Credit Card,Low,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
TXN000084,2024-08-03,andreamoore@example.com,Electronics,Monitor,Monica Herrera,10,450.15,24.9,3380.63,Debit Card,Low,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1
TXN000085,2024-02-17,jasmine71@example.net,Home & Garden,Decor,Allison Hill,9,219.26,5.2,1870.73,Debit Card,High,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
TXN000086,2023-12-13,ronaldstephens@example.net,Electronics,Smartphone,Lisa Jackson,7,1075.87,22.4,5844.13,Bank Transfer,Medium,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
TXN000087,2025-08-04,lauralarson@example.net,Books,Fiction,Lisa Hensley,11,46.5,13.7,441.42,Paypal,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
TXN000088,2024-09-06,gbender@example.net,Sports,Soccer Ball,Carla Gray,2,174.61,4.5,333.51,Paypal,Urgent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
TXN000089,2025-01-24,cassandra01@example.org,Books,Cookbook,Dylan Miller,2,69.7,19.5,112.22,Paypal,High,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
TXN000090,2025-01-07,barbara27@example.net,Sports,Weights,Angie Henderson,7,170.01,7.6,1099.62,Credit Card,Urgent,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
TXN000091,2024-08-19,fwalters@example.org,Electronics,Smart Watch,Jamie Arnold,9,166.96,28.7,1071.38,Paypal,Low,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
TXN000092,2025-01-15,marksteele@example.com,Home & Garden,Bedding,Derek Zuniga,9,189.87,19.7,1372.19,Cash,High,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
TXN000093,2023-11-18,qmiller@example.com,Books,Non-Fiction,Connie Lawrence,10,52.95,19.3,427.31,Credit Card,High,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1
TXN000094,2025-06-25,ahancock@example.net,Home & Garden,Plant,Tommy Walter,10,534.44,2.1,5232.17,Credit Card,Urgent,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
TXN000095,2024-01-25,cindy77@example.org,Sports,Weights,Connie Lawrence,12,175.7,28.2,1513.83,Debit Card,Low,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TXN000096,2025-05-01,omartinez@example.net,Home & Garden,Cookware,Daniel Wagner,8,345.99,6.5,2588.01,Paypal,Urgent,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1
TXN000097,2023-11-19,hdavis@example.com,Books,Manual,Ryan Munoz,10,13.83,6.1,129.86,Cash,Low,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0
TXN000098,2024-08-20,william46@example.com,Sports,Soccer Ball,Lisa Hensley,9,357.76,15.0,2736.86,Credit Card,Low,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
TXN000099,2024-05-09,michellehill@example.com,Sports,Basketball,Monica Herrera,10,214.12,19.2,1730.09,Credit Card,Urgent,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1
TXN000100,2024-09-03,jessica99@example.net,Home & Garden,Sofa,Gina Moore,7,481.38,15.7,2840.62,Cash,Low,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
TXN000101,2025-08-13,andrea86@example.com,Books,Manual,Daniel Wagner,6,34.58,28.7,147.93,Debit Card,Medium,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000102,2023-09-22,xhall@example.com,Clothing,Jacket,Margaret Hawkins Dds,2,65.49,23.2,100.59,Bank Transfer,High,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
TXN000103,2023-12-16,qhughes@example.net,Clothing,Shoes,Dylan Miller,5,241.95,17.7,995.62,Cash,Low,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0
TXN000104,2025-07-27,sawyerscott@example.net,Home & Garden,Decor,Lisa Jackson,2,501.63,15.2,850.76,Paypal,Urgent,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
TXN000105,2024-05-08,charlesharrington@example.com,Books,Non-Fiction,Ethan Adams,6,78.77,2.5,460.8,Debit Card,Medium,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
TXN000106,2024-12-18,melissa86@example.com,Home & Garden,Plant,Monica Herrera,6,551.15,1.6,3253.99,Credit Card,Urgent,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1
TXN000107,2025-08-04,williamsonjimmy@example.net,Home & Garden,Plant,Ryan Munoz,10,701.79,10.0,6316.11,Cash,Low,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0
TXN000108,2024-07-29,hodgesjane@example.org,Home & Garden,Bedding,Margaret Hawkins Dds,3,544.34,24.9,1226.4,Credit Card,High,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
TXN000109,2024-07-19,laura45@example.com,Electronics,Tablet,Angie Henderson,6,1897.95,14.6,9725.1,Debit Card,Low,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0
TXN000110,2024-12-13,georgemiller@example.com,Home & Garden,Decor,Noah Rhodes,3,150.74,24.9,339.62,Paypal,Medium,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
TXN000111,2025-01-18,stevenking@example.com,Sports,Bicycle,Jamie Arnold,8,132.32,7.2,982.34,Debit Card,Urgent,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
TXN000112,2024-04-08,charleslandry@example.net,Home & Garden,Decor,Margaret Hawkins Dds,3,658.09,24.0,1500.45,Credit Card,Low,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
TXN000113,2024-02-20,james67@example.org,Books,Fiction,Dylan Miller,5,41.45,15.4,175.33,Debit Card,Urgent,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
TXN000114,2024-11-01,andrew64@example.org,Electronics,Headphones,Cristian Santos,2,781.08,0.8,1549.66,Debit Card,Urgent,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
TXN000115,2024-12-03,swall@example.org,Clothing,Shorts,Tommy Walter,1,273.17,0.6,271.53,Bank Transfer,Urgent,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1
TXN000116,2025-01-03,erica21@example.net,Electronics,Monitor,Brian Ramirez,1,514.96,19.2,416.09,Credit Card,Low,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
TXN000117,2025-03-22,jessica14@example.com,Books,Cookbook,Holly Wood,7,10.11,10.6,63.27,Credit Card,Low,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
TXN000118,2025-07-29,alyssa42@example.com,Sports,Weights,Tommy Walter,6,141.75,0.5,846.25,Debit Card,High,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
TXN000119,2025-03-27,linda71@example.org,Clothing,T-Shirt,Cristian Santos,11,64.9,23.4,546.85,Debit Card,Urgent,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
TXN000120,2024-05-30,zcoffey@example.net,Electronics,Tablet,Gabrielle Davis,1,665.41,9.3,603.53,Paypal,Medium,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1
TXN000121,2024-03-10,gibsonemily@example.net,Home & Garden,Plant,Connie Lawrence,6,363.64,12.0,1920.02,Cash,Urgent,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
TXN000122,2025-07-06,leonardthomas@example.net,Home & Garden,Decor,Ryan Munoz,12,353.99,12.9,3699.9,Bank Transfer,Low,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0
TXN000123,2024-04-10,reidsteven@example.net,Home & Garden,Furniture,Carla Gray,12,355.24,20.7,3380.46,Cash,Low,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000124,2024-02-18,torrestravis@example.org,Electronics,Smart Watch,Cristian Santos,12,1374.85,28.6,11779.71,Credit Card,High,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0
TXN000125,2025-07-07,umatthews@example.org,Home & Garden,Cookware,Jamie Arnold,8,760.34,11.2,5401.46,Bank Transfer,High,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
TXN000126,2024-07-01,fpena@example.net,Clothing,T-Shirt,Abigail Shaffer,9,125.29,16.9,937.04,Paypal,Urgent,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
TXN000127,2023-11-05,scottsampson@example.com,Clothing,T-Shirt,Ethan Adams,3,271.12,13.4,704.37,Cash,High,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1
TXN000128,2025-06-08,sandersjames@example.org,Home & Garden,Decor,Cristian Santos,12,519.22,23.8,4747.75,Debit Card,Low,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0
TXN000129,2025-04-22,williamsmatthew@example.org,Home & Garden,Bedding,Holly Wood,9,125.57,26.5,830.65,Paypal,Low,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000130,2024-05-01,brendali@example.org,Clothing,Dress,Michele Williams,11,162.45,3.9,1717.26,Debit Card,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
TXN000131,2024-03-01,michele22@example.net,Books,Non-Fiction,Gabrielle Davis,12,25.78,28.4,221.5,Credit Card,High,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
TXN000132,2024-11-19,alexistyler@example.org,Clothing,Sweater,Tommy Walter,9,197.68,17.8,1462.44,Bank Transfer,Low,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
TXN000133,2024-08-23,vfox@example.org,Electronics,Laptop,Margaret Hawkins Dds,10,566.08,6.3,5304.17,Paypal,High,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0
TXN000134,2025-03-06,ngordon@example.org,Sports,Tennis Racket,Dylan Miller,5,237.7,20.7,942.48,Paypal,Medium,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000135,2024-08-26,bschneider@example.org,Home & Garden,Decor,Gina Moore,6,780.91,3.9,4502.73,Cash,High,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
TXN000136,2024-12-04,fjones@example.com,Sports,Tennis Racket,Lisa Jackson,7,434.8,12.5,2663.15,Cash,Medium,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
