customer_email,customer_name,customer_age,age_group,customer_value_tier,customer_segment
kimberlyjames@example.com,Phillip Obrien,43,36-50,Premium,Small Business
lynchjody@example.org,Wanda Torres,74,65+,Low,Enterprise
andreamoore@example.com,Matthew Moore,43,36-50,Premium,Enterprise
jasmine71@example.net,Julie Johnson,19,18-25,High,Individual
ronaldstephens@example.net,Rachel Weber,62,51-65,Premium,Small Business
lauralarson@example.net,Samantha Jones,23,18-25,Medium,Enterprise
gbender@example.net,Caleb Barker,57,51-65,Medium,Small Business
cassandra01@example.org,Kyle Preston,43,36-50,Low,Small Business
barbara27@example.net,Laura Sampson,76,65+,High,Individual
fwalters@example.org,Donald Shea,31,26-35,High,Enterprise
marksteele@example.com,Gary Santiago,29,26-35,High,Individual
qmiller@example.com,Robin Pierce,50,36-50,Medium,Enterprise
ahancock@example.net,Anonymous Customer,19,18-25,Premium,Individual
cindy77@example.org,Jennifer Lopez,22,18-25,Premium,Individual
omartinez@example.net,Carlos Roberts,60,51-65,Premium,Enterprise
hdavis@example.com,Christopher Pierce,33,26-35,Medium,Individual
william46@example.com,Brittany Cantu,61,51-65,Premium,Small Business
michellehill@example.com,Juan Reyes,67,65+,High,Enterprise
jessica99@example.net,Katie Hoover,55,51-65,Premium,Individual
andrea86@example.com,Jill Washington,34,26-35,Low,Small Business
xhall@example.com,Colin Terry,73,65+,Low,Small Business
qhughes@example.net,John Mcintyre,25,18-25,Medium,Individual
sawyerscott@example.net,Andrew Shaw Md,21,18-25,Medium,Small Business
charlesharrington@example.com,Nathan Ortiz,21,18-25,Medium,Small Business
melissa86@example.com,Jennifer Miller,58,51-65,Premium,Enterprise
williamsonjimmy@example.net,Olivia Brennan,34,26-35,Premium,Individual
hodgesjane@example.org,Darren Davis,83,65+,High,Enterprise
laura45@example.com,Elijah Johnson,33,26-35,Premium,Individual
georgemiller@example.com,Joseph Knight,37,36-50,Medium,Small Business
stevenking@example.com,Kathleen Aguilar,76,65+,Medium,Small Business
charleslandry@example.net,Robert Santana,48,36-50,High,Small Business
james67@example.org,Jessica Wright,27,26-35,Low,Individual
andrew64@example.org,Ian Phillips,58,51-65,High,Small Business
swall@example.org,Paula Beltran,35,26-35,Low,Enterprise
erica21@example.net,Colleen Lee,24,18-25,Medium,Enterprise
jessica14@example.com,Richard Johnson,39,36-50,Low,Individual
alyssa42@example.com,Curtis Buchanan,60,51-65,Medium,Enterprise
linda71@example.org,Karen Drake,77,65+,Medium,Enterprise
zcoffey@example.net,Shannon Ramsey,85,65+,Medium,Enterprise
gibsonemily@example.net,James Baker,65,51-65,High,Enterprise
leonardthomas@example.net,Samantha Bentley,39,36-50,Premium,Individual
reidsteven@example.net,Erin Bishop,21,18-25,Premium,Small Business
torrestravis@example.org,Audrey Williams,72,65+,Premium,Individual
umatthews@example.org,Brandy Chavez,33,26-35,Premium,Small Business
fpena@example.net,Anonymous Customer,49,36-50,Medium,Small Business
scottsampson@example.com,Diana Vaughn,56,51-65,Medium,Enterprise
sandersjames@example.org,Mrs. Stephanie Newman,31,26-35,Premium,Small Business
williamsmatthew@example.org,Anna Lewis,66,65+,Medium,Small Business
brendali@example.org,Andrea Hubbard,39,36-50,High,Individual
michele22@example.net,Rachel Carlson,52,51-65,Low,Enterprise
alexistyler@example.org,Ashley Delacruz,37,36-50,High,Small Business
vfox@example.org,Christopher Williams,19,18-25,Premium,Small Business
ngordon@example.org,Ivan Wheeler,69,65+,Medium,Small Business
bschneider@example.org,Sharon Boyd,29,26-35,Premium,Individual
fjones@example.com,Jessica Rodriguez,36,36-50,High,Individual
oscar98@example.com,Cameron Weber,46,36-50,Low,Individual
farrelldebra@example.net,Jessica Mcguire,71,65+,Premium,Small Business
dmorgan@example.com,Jessica Beasley,51,51-65,Premium,Individual
nicholas27@example.org,Emily Edwards,81,65+,Premium,Individual
lisa80@example.net,Anna Davis,56,51-65,Medium,Enterprise
uparrish@example.org,Meagan Jenkins,63,51-65,Medium,Small Business
ericolson@example.org,Heather Lane,37,36-50,Premium,Small Business
lindsaybruce@example.net,Holly Farmer,42,36-50,Low,Small Business
anthony44@example.com,Kristin Lynch,74,65+,High,Small Business
vjones@example.net,Sergio Knight,52,51-65,Low,Small Business
xpeterson@example.com,Joseph Bennett,66,65+,Medium,Small Business
moorekaren@example.org,Todd Carlson,84,65+,High,Individual
nperry@example.net,Jeremy Coleman,28,26-35,High,Individual
trose@example.org,Brian Gregory,41,36-50,Premium,Enterprise
sierra24@example.com,Kyle Smith,69,65+,Premium,Small Business
smithjulie@example.org,Anonymous Customer,85,65+,High,Enterprise
charles06@example.org,Michael Mason,59,51-65,Premium,Individual
amckinney@example.com,Shannon Johnston,47,36-50,Low,Individual
xcollier@example.org,Vincent Jackson,31,26-35,Low,Small Business
fosterkyle@example.com,Dana Chapman,74,65+,Premium,Enterprise
schmidtjames@example.com,Christopher Dixon,73,65+,Medium,Individual
curtisscott@example.org,Sabrina Briggs,72,65+,Premium,Enterprise
kmarshall@example.net,Peter Jones,75,65+,Premium,Small Business
michelle52@example.com,Sonia Day,24,18-25,Premium,Small Business
bellcharles@example.com,Mark Hogan,64,51-65,Medium,Individual
kstout@example.net,Rebecca Huang,69,65+,Medium,Individual
hayeslisa@example.com,John Hernandez,67,65+,Premium,Individual
hritter@example.net,Matthew Williams,57,51-65,High,Enterprise
rschroeder@example.net,Jake Campbell,70,65+,Premium,Small Business
grantpaul@example.com,Maria Jones,44,36-50,Low,Small Business
mathewaguilar@example.org,Tracey Morrison,26,26-35,Low,Enterprise
tanderson@example.org,Walter Hale,43,36-50,High,Small Business
elizabethcalderon@example.net,Maria Murphy,66,65+,High,Small Business
andrew42@example.org,Anna Santiago,76,65+,High,Small Business
ericphillips@example.org,Katelyn Perez,69,65+,Medium,Small Business
stanleynancy@example.net,Sandy Stephenson,78,65+,Premium,Enterprise
jenniferwilliams@example.com,Brittany White,25,18-25,Premium,Small Business
pyoung@example.com,Tracy Bishop,78,65+,High,Enterprise
smurray@example.com,Stephanie Lee,38,36-50,High,Individual
moniquewilliams@example.com,Tracy Montoya,74,65+,High,Small Business
mitchellkathryn@example.com,Timothy Dawson,79,65+,High,Enterprise
lisawilkerson@example.org,Brittany Kim,25,18-25,Medium,Enterprise
brooksanthony@example.org,Jonathan Young,25,18-25,Medium,Individual
mitchellmaria@example.net,Gabriela Thomas,22,18-25,Medium,Individual
bullockandrew@example.org,Michael West,78,65+,Low,Small Business
srodriguez@example.org,Todd Lynch,50,36-50,Medium,Enterprise
fbrown@example.net,David Fowler,81,65+,Medium,Individual
kellysmith@example.com,Jose Allen,47,36-50,Low,Enterprise
carlos88@example.net,Chelsea Barnett,77,65+,Low,Individual
qzavala@example.net,Kristen Myers Dds,64,51-65,Low,Small Business
ingramjill@example.com,Austin Allen,53,51-65,High,Small Business
mariacohen@example.net,Joshua Li,19,18-25,High,Small Business
mjohnson@example.org,Robin Brown,35,26-35,Premium,Small Business
ihays@example.com,Andrew Mahoney,84,65+,Medium,Individual
glennmartin@example.org,Matthew Mitchell,29,26-35,Premium,Individual
lmorgan@example.com,Steve Paul,77,65+,Premium,Individual
mmiller@example.org,Tim Stone Phd,73,65+,Medium,Individual
kirk96@example.org,Brian Murphy,36,36-50,Premium,Small Business
christina64@example.net,Jeremy Acosta,73,65+,High,Individual
william20@example.org,Angela Walsh,62,51-65,Low,Individual
youngdeanna@example.com,Rachael Johnson,74,65+,High,Enterprise
xrush@example.com,Amanda Hernandez,33,26-35,Medium,Individual
debra31@example.org,Chad Richardson,56,51-65,Low,Small Business
greenjorge@example.com,Joseph Mcintyre,69,65+,High,Individual
taylorcharles@example.org,Donna Hendricks Dds,79,65+,Low,Enterprise
elizabeth18@example.net,Yolanda Cochran,85,65+,Premium,Enterprise
laurahicks@example.org,Sarah Joseph,31,26-35,Premium,Enterprise
angela57@example.net,Cynthia Snyder,84,65+,Low,Individual
xfox@example.com,Angelica Parker,68,65+,Premium,Enterprise
coleerin@example.com,Beth Stewart,69,65+,High,Enterprise
katrinaanderson@example.net,Penny Bowman,27,26-35,High,Individual
fred53@example.com,Sandra Holmes,78,65+,High,Individual
cynthiapierce@example.org,Diane Miller,32,26-35,High,Individual
brittanycarpenter@example.org,Joseph Shaw,45,36-50,Low,Enterprise
bmontgomery@example.com,Deborah Clark,33,26-35,Low,Enterprise
zsanchez@example.net,Donna Frye,72,65+,Low,Individual
dperry@example.org,Benjamin Brown,47,36-50,Medium,Enterprise
theresa25@example.net,Emily Higgins,53,51-65,Premium,Small Business
gwright@example.org,David Martinez,69,65+,Low,Small Business
lisapeck@example.net,Sharon Barnes,52,51-65,High,Small Business
tjimenez@example.com,Christopher Ferrell,35,26-35,High,Enterprise
jasongomez@example.org,James Bryant,74,65+,Low,Small Business
booneryan@example.com,Stephen Pena Md,49,36-50,Premium,Enterprise
hudsonjames@example.net,Jamie Williams,25,18-25,Premium,Small Business
marcia99@example.org,Jonathan Duran,81,65+,Medium,Individual
angela52@example.org,Jennifer Norton,69,65+,Low,Small Business
jenniferbrock@example.net,Kathryn Williams,82,65+,Premium,Small Business
francisco94@example.net,Steven Taylor,47,36-50,Medium,Small Business
thomas05@example.com,Katrina Burns,17,18-25,Low,Enterprise
carlsonjoseph@example.net,Jason Parker,51,51-65,Premium,Enterprise
silvageorge@example.net,Laura Perez,23,18-25,Medium,Individual
anthonyvaughan@example.org,Sarah Hernandez,45,36-50,Premium,Enterprise
roberthampton@example.com,Erik Hernandez,73,65+,Low,Individual
annbolton@example.com,Monica Thornton,34,26-35,High,Small Business
amy49@example.com,Tyler Stevens,47,36-50,Low,Individual
kellie37@example.com,Diana Evans,26,26-35,High,Individual
keith98@example.com,Timothy Pope,31,26-35,Medium,Individual
xcardenas@example.org,Anonymous Customer,73,65+,High,Enterprise
vdouglas@example.com,Tyler Miller,83,65+,Low,Individual
derrick99@example.org,Joshua Fitzpatrick,56,51-65,Premium,Small Business
briangutierrez@example.net,Taylor Perez,50,36-50,High,Individual
richarddonovan@example.com,Randy Smith,19,18-25,High,Individual
robertmonroe@example.org,Sarah Johnson,63,51-65,High,Small Business
nancy04@example.net,Jon Zuniga,38,36-50,Premium,Small Business
ismall@example.net,William Mitchell,66,65+,Low,Enterprise
twong@example.org,Robert Rivera,56,51-65,Low,Enterprise
gregorychase@example.com,Rachel Bradley,22,18-25,Low,Individual
lopezdonald@example.com,Garrett Morales,44,36-50,High,Individual
stephanie49@example.net,Dean Young,27,26-35,High,Small Business
contrerassteven@example.org,Matthew Schwartz,68,65+,Low,Small Business
hannah45@example.net,Tammy Barron,70,65+,Premium,Small Business
robert87@example.net,Casey Hernandez,76,65+,High,Individual
foxallison@example.com,Colleen Wright,50,36-50,Low,Enterprise
ashleyhernandez@example.com,Ashley Poole,82,65+,Premium,Enterprise
gdavis@example.com,Audrey Harris,34,26-35,Medium,Individual
hansenemily@example.com,Carlos Perry,49,36-50,High,Individual
bethwilliams@example.com,David Smith,82,65+,Low,Individual
andersenthomas@example.com,Zachary Michael,52,51-65,Low,Small Business
ybrooks@example.com,Chad May,66,65+,Medium,Individual
rbennett@example.net,Anonymous Customer,28,26-35,Medium,Enterprise
victorialong@example.org,Martha Bailey,78,65+,Low,Enterprise
steven86@example.net,Sandy Avila,41,36-50,Premium,Small Business
jacob10@example.net,Danielle Reed,19,18-25,Premium,Enterprise
jamiegarcia@example.org,Taylor Small,27,26-35,Low,Individual
moralesjimmy@example.org,Michele Williams,17,18-25,Low,Enterprise
jim95@example.net,Amy Gordon,64,51-65,Premium,Individual
valerieboyd@example.com,Sabrina Young,63,51-65,Medium,Enterprise
conniesimmons@example.com,Justin Vargas,54,51-65,High,Individual
heather62@example.com,Teresa Powers,69,65+,Low,Enterprise
kevinzimmerman@example.com,Joshua Allen,80,65+,Premium,Individual
paulscott@example.com,Jason Butler,58,51-65,Premium,Individual
brettbennett@example.net,Jerry Watson,25,18-25,Premium,Individual
timothybooth@example.com,Benjamin Ballard,74,65+,Low,Individual
burgesskaren@example.org,Alexis Giles,37,36-50,Low,Small Business
kimberly67@example.net,Christine Herman,41,36-50,High,Enterprise
kyle58@example.com,Anonymous Customer,65,51-65,Premium,Individual
robin55@example.com,William Harrison,33,26-35,Premium,Individual
angela99@example.net,Connie Thomas,31,26-35,Medium,Small Business
victorpena@example.net,Craig Hall,30,26-35,Low,Individual
umurray@example.com,Roberto Levy,82,65+,Low,Enterprise
warrenmary@example.org,Joshua White,41,36-50,Medium,Small Business
carloshernandez@example.org,Pamela Gutierrez,17,18-25,High,Enterprise
bhopkins@example.org,Antonio Little,53,51-65,Medium,Individual
amanda40@example.net,Alexandra Moreno,21,18-25,Premium,Small Business
danieldavis@example.org,Jessica Case,74,65+,High,Small Business
laura15@example.com,Joseph Ochoa,72,65+,Medium,Small Business
valdezmichele@example.org,Wanda Perez,17,18-25,Medium,Enterprise
warnerchristopher@example.com,James Alvarez,65,51-65,Medium,Individual
jacobsonsamantha@example.org,Kylie Hodge,51,51-65,Low,Enterprise
brandon14@example.net,Melissa Knight,31,26-35,High,Individual
alibrenda@example.net,Cassie Jefferson,42,36-50,Premium,Individual
ashleyatkinson@example.net,Billy Martin,28,26-35,High,Small Business
masonterri@example.org,Janet Singh,68,65+,Low,Individual
unovak@example.org,Ryan Peterson,31,26-35,Premium,Enterprise
angela66@example.org,Willie Henry,38,36-50,Premium,Enterprise
lauren11@example.com,Jamie Barton,53,51-65,Medium,Small Business
gstewart@example.org,Richard Moore,60,51-65,Low,Enterprise
andersonjacob@example.com,Jill Juarez,84,65+,Premium,Enterprise
angela99@example.com,Jennifer Johnson,48,36-50,High,Individual
hardyanita@example.org,Edgar Hughes,65,51-65,Premium,Enterprise
wardsheryl@example.net,Jason Washington,64,51-65,Low,Enterprise
rushmartin@example.net,Luis Ellis Jr.,57,51-65,Medium,Enterprise
kevinmorrison@example.net,Erin Cook,24,18-25,High,Enterprise
kelly79@example.org,Christopher Sanders,83,65+,Premium,Individual
frederickjames@example.net,Robert Long,64,51-65,High,Enterprise
nhahn@example.com,Krista Benton,40,36-50,Premium,Individual
marie16@example.net,Anonymous Customer,29,26-35,Medium,Enterprise
jennifermccormick@example.org,Eric King,25,18-25,Low,Small Business
ystephens@example.com,Karen Morales Dds,24,18-25,High,Small Business
rodriguezjohn@example.net,Kimberly Little,19,18-25,Premium,Individual
vrasmussen@example.com,Lonnie Hart,63,51-65,High,Individual
seanmyers@example.net,David Dixon,60,51-65,Premium,Individual
agarcia@example.org,Brittany Cuevas,75,65+,Premium,Enterprise
stanley38@example.com,Monica Bailey,52,51-65,High,Small Business
carlos01@example.org,Jeffrey Horton,70,65+,Medium,Individual
zacharyarnold@example.com,Brian Marsh,55,51-65,High,Individual
jacobsandoval@example.com,Joel Salinas,25,18-25,Medium,Enterprise
tprice@example.org,Sonya Cole,35,26-35,Medium,Enterprise
lloydamanda@example.com,Michael Flynn,37,36-50,Medium,Individual
orose@example.com,Brian Lambert,78,65+,Medium,Small Business
megan92@example.net,James Wilson,21,18-25,Premium,Enterprise
lawrenceallen@example.org,Tamara Lawrence,25,18-25,Premium,Individual
baileyhenderson@example.com,Charles Price,72,65+,Premium,Enterprise
angelaburns@example.org,Tamara Arias,58,51-65,High,Small Business
stephanie72@example.org,Jerry Brown,81,65+,High,Individual
acohen@example.net,Justin Delgado,52,51-65,Premium,Enterprise
kellyhill@example.net,Christopher Cunningham,81,65+,Medium,Small Business
hdunn@example.net,Jim Newton,35,26-35,Medium,Small Business
wolfscott@example.org,Joshua Ritter,71,65+,Low,Individual
nancy07@example.com,Ronald Potter,28,26-35,Medium,Small Business
rowejoel@example.net,Angie Grimes,82,65+,High,Small Business
imartin@example.org,Shannon Bishop,62,51-65,Premium,Individual
candice25@example.net,Anthony Bell,66,65+,Low,Enterprise
taylorkaren@example.com,Derek Hodge,22,18-25,High,Individual
johndawson@example.org,Donald Rios,67,65+,Medium,Small Business
courtney67@example.org,Jenna Thomas,82,65+,Medium,Enterprise
heather57@example.com,Patricia Powell,66,65+,High,Enterprise
simonstephen@example.net,Sheila Boone,51,51-65,Premium,Small Business
tammysummers@example.com,Arthur Ferguson,30,26-35,Low,Enterprise
ashleewashington@example.com,Drew Kelley,19,18-25,High,Individual
nicoleturner@example.com,Tyler Harris,40,36-50,Medium,Individual
brettgarrett@example.net,Danielle Watson,26,26-35,High,Enterprise
smiththomas@example.org,Jessica Davis,81,65+,Premium,Enterprise
lisa62@example.com,Michael Smith,38,36-50,Medium,Small Business
edwardsnicole@example.org,Brandon Shaffer,49,36-50,High,Enterprise
caseyelliott@example.net,Nicole Anderson,73,65+,Premium,Enterprise
samanthajensen@example.com,Gregory Lewis,35,26-35,Premium,Small Business
lawrencepatrick@example.com,Steven Taylor,22,18-25,High,Individual
angelagreene@example.net,Danielle Newman,48,36-50,Premium,Individual
jamie98@example.org,Melissa Abbott,81,65+,Low,Individual
troyrodriguez@example.com,Matthew Bowers,67,65+,Low,Small Business
sarah26@example.net,Kelsey Levine,62,51-65,Premium,Small Business
amy27@example.org,Anonymous Customer,42,36-50,Medium,Individual
fryraymond@example.com,Alexis Lewis,35,26-35,Premium,Small Business
imiller@example.net,Pamela Henderson,61,51-65,Medium,Enterprise
terrimoore@example.com,Bradley Miller,71,65+,Low,Small Business
collinssamuel@example.org,Pamela Santos,16,18-25,Medium,Small Business
christopherhamilton@example.com,Anonymous Customer,45,36-50,Medium,Individual
davidzimmerman@example.net,Ellen Harmon,26,26-35,Medium,Enterprise
gary24@example.net,Troy Mills,30,26-35,High,Small Business
wiseanthony@example.com,Anonymous Customer,17,18-25,Low,Individual
crawfordwilliam@example.org,Deborah Proctor,58,51-65,High,Individual
shannonemily@example.org,Carol Moore,47,36-50,High,Individual
sanchezthomas@example.com,April Trevino,55,51-65,Premium,Enterprise
pwalker@example.com,Timothy Mathews,71,65+,High,Small Business
joseph19@example.com,Anonymous Customer,79,65+,Medium,Small Business
finleycasey@example.com,Stephanie White,60,51-65,Medium,Individual
msmith@example.com,Ryan Murphy,78,65+,Premium,Enterprise
brittany73@example.net,Nancy Sanchez,35,26-35,Premium,Enterprise
ijohnson@example.com,Rebecca Hernandez,46,36-50,Premium,Enterprise
blakenicholas@example.net,Sherry Tapia,30,26-35,Medium,Individual
dvasquez@example.org,Daniel Bird,78,65+,Low,Small Business
xhaynes@example.com,Andrew Hall,75,65+,High,Enterprise
kjones@example.org,Brendan Anderson,25,18-25,High,Individual
sara65@example.com,Bianca Carter,69,65+,Low,Small Business
moorefrank@example.com,Benjamin Harris,72,65+,High,Small Business
shannonford@example.org,Joshua Oconnell,48,36-50,High,Small Business
lewismelissa@example.org,Michael Mckenzie,56,51-65,Low,Enterprise
byrdjorge@example.org,Tracy Foster,54,51-65,Premium,Enterprise
codygarcia@example.org,Sarah Hawkins,28,26-35,Premium,Individual
jamesmorales@example.net,Ronald Haas,31,26-35,Premium,Individual
johnsoncaleb@example.net,Angela Willis,22,18-25,Premium,Enterprise
david70@example.org,Anna Boone,67,65+,Low,Enterprise
reyesronald@example.com,Samantha Foster,83,65+,Medium,Small Business
austinharvey@example.org,Denise Griffin,60,51-65,Premium,Small Business
millerpatrick@example.com,Jason Pierce,41,36-50,High,Individual
mayokimberly@example.com,Rebecca Wright,73,65+,Low,Individual
paul20@example.com,Kari Durham,18,18-25,High,Individual
stokesthomas@example.com,Steven Osborne,24,18-25,Medium,Enterprise
dianeadams@example.net,Crystal Moore,28,26-35,Premium,Enterprise
lkelly@example.org,Theresa Johnston,58,51-65,Low,Individual
warnermichael@example.net,Renee Wolfe,65,51-65,High,Individual
lweaver@example.com,Travis Copeland,45,36-50,High,Individual
nsmith@example.org,David Robinson,41,36-50,High,Individual
brian29@example.net,Mitchell Sellers,39,36-50,Low,Small Business
susan56@example.net,Brian Fox,29,26-35,Premium,Enterprise
fconner@example.net,Frank Daugherty,77,65+,Low,Small Business
jeffrey92@example.com,Wayne Steele,17,18-25,Low,Enterprise
rushstacy@example.com,Elizabeth Thompson,74,65+,High,Individual
daniellegarcia@example.com,Traci Johnson Dds,20,18-25,Premium,Small Business
gary15@example.com,Blake Reed,22,18-25,Low,Small Business
kristin00@example.com,David Jones,73,65+,Medium,Individual
wmacias@example.net,Tracy Wilkerson,41,36-50,Low,Small Business
franciscojones@example.org,John Shields,81,65+,Medium,Enterprise
george62@example.net,Dean Garcia,22,18-25,Premium,Enterprise
jamie36@example.net,Jessica Brown,42,36-50,Low,Individual
kenneth10@example.com,Monica Baker,69,65+,Premium,Enterprise
pattersonkelly@example.net,Katherine Brown,24,18-25,Medium,Small Business
daniellerowland@example.com,Christina Johnson,23,18-25,High,Individual
christopher86@example.org,Richard Ruiz,32,26-35,Low,Enterprise
scott43@example.com,Jaclyn Griffin,31,26-35,High,Small Business
barnettlindsey@example.com,Paul Contreras,24,18-25,Medium,Enterprise
rsheppard@example.com,Kristen Randall,40,36-50,Premium,Small Business
shawrachel@example.net,Karen Miller,23,18-25,High,Enterprise
davidtodd@example.org,Anonymous Customer,35,26-35,Low,Small Business
rmiller@example.com,Rhonda Martinez,68,65+,Low,Small Business
millerangela@example.net,Lori Flowers Md,72,65+,Premium,Enterprise
buchanancindy@example.net,Kelly Stark,28,26-35,Medium,Individual
buckleyanna@example.org,Jason Hernandez,27,26-35,Low,Individual
pbaker@example.com,Joseph Cooper,56,51-65,High,Small Business
christinebecker@example.com,Amanda Hill,56,51-65,High,Enterprise
reesesamantha@example.com,Shawn Vaughn,22,18-25,High,Individual
rgarrison@example.org,Riley Collins,55,51-65,Premium,Individual
joseph69@example.net,Eric Manning,75,65+,Medium,Individual
xmalone@example.org,Daniel Holloway,19,18-25,Premium,Small Business
htaylor@example.net,Ana Mckinney,29,26-35,Medium,Small Business
wrightstephen@example.com,Shaun Gonzalez,42,36-50,Medium,Enterprise
hreid@example.net,Jacob Marshall,30,26-35,Low,Small Business
wmatthews@example.com,John Griffin,64,51-65,High,Individual
mitchellpaul@example.org,Deanna Rivas,53,51-65,Low,Small Business
ericaadams@example.com,Traci Vincent,60,51-65,Medium,Enterprise
wellsdavid@example.org,Richard Saunders,61,51-65,High,Individual
jennifer46@example.com,Courtney Franklin,76,65+,Low,Small Business
kenneth17@example.org,Sara Hoffman,65,51-65,Medium,Small Business
jacob83@example.org,Margaret Hensley Md,20,18-25,Low,Enterprise
erin07@example.com,Rhonda Powell,51,51-65,Premium,Enterprise
matthewreeves@example.net,Jennifer Doyle,55,51-65,Medium,Enterprise
william28@example.org,Karen Shepard,53,51-65,High,Enterprise
staceylam@example.net,Carl Green,19,18-25,Low,Individual
vfrench@example.com,Daniel Savage,35,26-35,Low,Small Business
delacruzbrandy@example.net,Julie Wilson,35,26-35,High,Small Business
