transaction_id,sale_date,customer_name,customer_email,customer_age,product_category,product_name,quantity,unit_price,discount_percent,total_amount,payment_method,sales_rep,region,customer_segment,order_priority,year,month,quarter,day_of_week,day_name,is_weekend,is_month_end,days_since_first_sale,season,is_holiday_season,age_group,customer_total_spent,customer_avg_order,customer_order_count,customer_first_purchase,customer_last_purchase,customer_value_tier,price_tier,discount_tier,gross_revenue,discount_amount,revenue_per_unit,profit_margin,rep_total_sales,rep_avg_sale,rep_transaction_count,rep_total_quantity,region_avg_sale,recency_score,frequency_rank,monetary_rank,is_high_value_customer,is_at_risk_customer,is_vip_customer,is_bulk_purchase,is_high_discount_sale,is_premium_product,is_weekend_sale,is_holiday_season_sale,is_new_customer,is_repeat_customer,is_high_margin_sale,is_large_transaction,is_electronics_purchase,is_urgent_order,is_enterprise_customer
TXN000011,2024-02-28,Jennifer Powers,samuel87@example.org,30,Clothing,Dress,9,276.77,18.0,2042.56,Cash,Ryan Munoz,South,Individual,Medium,2024,2,1,2,Wednesday,0,0,192,Winter,0,26-35,2042.56,2042.56,1,2024-02-28,2024-02-28,High,Premium,Medium,2490.93,448.3674,226.95,82.0,1022796.97,2180.8,469,3143,2108.51,2,4,4,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0
TXN000012,2024-12-22,George Chapman,briannasmith@example.net,76,Books,Fiction,2,78.46,16.0,131.81,Bank Transfer,Connie Lawrence,East,Enterprise,Urgent,2024,12,4,6,Sunday,1,0,490,Winter,1,65+,568.89,284.44,2,2024-12-22,2025-05-17,Medium,Premium,Medium,156.92,25.1072,65.9,84.0,968793.08,1895.88,511,3246,2107.87,5,5,2,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1
TXN000013,2024-08-31,Austin Johnson,chad34@example.net,72,Clothing,Jacket,12,103.84,29.9,873.5,Bank Transfer,Dylan Miller,North,Individual,Medium,2024,8,3,5,Saturday,1,1,377,Summer,0,65+,873.5,873.5,1,2024-08-31,2024-08-31,Medium,Budget,High,1246.08,372.57791999999995,72.79,70.1,973103.11,2129.33,457,2950,2139.28,3,1,3,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
TXN000014,2024-11-09,Anonymous Customer,ambercummings@example.net,45,Electronics,Tablet,10,479.42,2.1,4693.52,Credit Card,Noah Rhodes,East,Individual,Medium,2024,11,4,5,Saturday,1,0,447,Fall,1,36-50,4693.52,4693.52,1,2024-11-09,2024-11-09,Premium,Budget,Low,4794.2,100.6782,469.35,97.9,1008819.61,2212.32,456,2935,2107.87,4,1,5,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0
TXN000015,2024-07-14,Richard Aguirre,clintonhopkins@example.com,76,Home & Garden,Furniture,12,750.02,17.1,7461.2,Paypal,Abigail Shaffer,North,Individual,Urgent,2024,7,3,6,Sunday,1,0,329,Summer,0,65+,7461.2,7461.2,1,2024-07-14,2024-07-14,Premium,Premium,Medium,9000.24,1539.04104,621.77,82.9,984709.16,2077.45,474,3046,2139.28,3,1,5,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0
TXN000016,2024-02-29,Scott Brown,brownjessica@example.org,67,Home & Garden,Cookware,1,546.86,29.5,385.54,Cash,Daniel Wagner,South,Individual,Medium,2024,2,1,3,Thursday,0,1,193,Winter,0,65+,385.54,385.54,1,2024-02-29,2024-02-29,Medium,Premium,High,546.86,161.3237,385.54,70.5,1094357.58,2237.95,489,3176,2108.51,2,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
TXN000017,2024-07-29,Joshua Taylor,joshuawright@example.org,28,Books,Biography,8,27.49,27.7,159.0,Credit Card,Margaret Hawkins Dds,Central,Individual,Low,2024,7,3,0,Monday,0,0,344,Summer,0,26-35,159.0,159.0,1,2024-07-29,2024-07-29,Low,Budget,High,219.92,60.91783999999999,19.88,72.3,1074806.64,2202.47,488,3142,2202.89,3,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000019,2024-03-12,John Hancock,martinaaron@example.com,22,Clothing,Jeans,10,224.69,1.8,2206.46,Bank Transfer,Brian Ramirez,Central,Enterprise,Medium,2024,3,1,1,Tuesday,0,0,205,Spring,0,18-25,2206.46,2206.46,1,2024-03-12,2024-03-12,High,Premium,Low,2246.9,40.44420000000001,220.65,98.2,1074734.73,2229.74,482,3080,2202.89,2,3,4,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
TXN000020,2023-10-04,Rachel Mitchell,smoore@example.org,47,Electronics,Camera,10,182.52,25.9,1352.47,Bank Transfer,Carla Gray,North,Enterprise,Low,2023,10,4,2,Wednesday,0,0,45,Fall,0,36-50,1352.47,1352.47,1,2023-10-04,2023-10-04,High,Budget,High,1825.2,472.7268,135.25,74.1,965704.31,2225.13,434,2878,2139.28,1,5,3,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
TXN000021,2023-12-20,Kimberly Adkins,williamsthomas@example.net,66,Sports,Soccer Ball,5,118.04,21.5,463.31,Debit Card,Patty Perez,East,Small Business,High,2023,12,4,2,Wednesday,0,0,122,Winter,1,65+,463.31,463.31,1,2023-12-20,2023-12-20,Medium,Budget,High,590.2,126.89300000000001,92.66,78.5,1050508.21,2254.31,466,3003,2107.87,1,5,2,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
TXN000022,2024-06-28,Jordan York,larsonemma@example.org,60,Electronics,Laptop,2,192.86,6.4,361.03,Credit Card,Gina Moore,East,Small Business,Medium,2024,6,2,4,Friday,0,0,313,Summer,0,51-65,361.03,361.03,1,2024-06-28,2024-06-28,Medium,Budget,Low,385.72,24.686080000000004,180.52,93.6,1015353.97,2281.69,445,2864,2107.87,3,3,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
TXN000023,2024-11-01,Steve Sanchez,harveyrobert@example.net,29,Sports,Bicycle,11,273.89,20.0,2410.23,Debit Card,Gabrielle Davis,North,Individual,Medium,2024,11,4,4,Friday,0,0,439,Fall,1,26-35,2410.23,2410.23,1,2024-11-01,2024-11-01,High,Mid-Range,Medium,3012.79,602.558,219.11,80.0,1007575.89,2229.15,452,3022,2139.28,3,2,4,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
TXN000024,2025-01-02,Taylor Harris,john62@example.net,48,Home & Garden,Plant,4,557.81,25.6,1660.04,Credit Card,Angie Henderson,West,Small Business,Low,2025,1,1,3,Thursday,0,0,501,Winter,0,36-50,1660.04,1660.04,1,2025-01-02,2025-01-02,High,Premium,High,2231.24,571.1974399999999,415.01,74.4,956042.28,1931.4,495,3172,2047.51,4,3,4,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
TXN000025,2023-11-05,Eugene Walton,smithchristine@example.net,17,Electronics,Tablet,5,365.08,13.3,1582.62,Credit Card,Angie Henderson,South,Enterprise,Low,2023,11,4,6,Sunday,1,0,77,Fall,1,18-25,1582.62,1582.62,1,2023-11-05,2023-11-05,High,Budget,Medium,1825.3999999999999,242.7782,316.52,86.7,956042.28,1931.4,495,3172,2108.51,1,5,4,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1
TXN000026,2023-12-20,Daniel Baker,nicole35@example.com,21,Home & Garden,Bedding,1,263.9,27.0,192.65,Cash,Abigail Shaffer,South,Enterprise,Low,2023,12,4,2,Wednesday,0,0,122,Winter,1,18-25,192.65,192.65,1,2023-12-20,2023-12-20,Low,Budget,High,263.9,71.253,192.65,73.0,984709.16,2077.45,474,3046,2108.51,1,4,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
TXN000027,2023-11-08,Joshua Turner,contrerasangela@example.net,36,Home & Garden,Decor,10,605.85,27.8,4374.24,Debit Card,Michele Williams,North,Individual,High,2023,11,4,2,Wednesday,0,0,80,Fall,1,36-50,4374.24,4374.24,1,2023-11-08,2023-11-08,Premium,Premium,High,6058.5,1684.2630000000001,437.42,72.2,874402.51,1930.25,453,2939,2139.28,1,1,5,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
TXN000028,2024-12-01,Brandy Wilson,newtoneric@example.com,20,Sports,Soccer Ball,5,96.41,21.0,380.82,Paypal,Gina Moore,South,Small Business,High,2024,12,4,6,Sunday,1,0,469,Winter,1,18-25,380.82,380.82,1,2024-12-01,2024-12-01,Medium,Budget,High,482.04999999999995,101.23049999999999,76.16,79.0,1015353.97,2281.69,445,2864,2108.51,4,4,2,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0
TXN000029,2024-12-24,Grant Watts,william40@example.org,24,Home & Garden,Decor,1,536.53,12.0,472.15,Cash,Jamie Arnold,Central,Small Business,High,2024,12,4,1,Tuesday,0,0,492,Winter,1,18-25,472.15,472.15,1,2024-12-24,2024-12-24,Medium,Premium,Medium,536.53,64.3836,472.15,88.0,960567.89,1921.14,500,3264,2202.89,4,5,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
TXN000030,2024-07-28,Donald Smith,danagreen@example.net,71,Electronics,Laptop,10,1926.94,8.0,17727.85,Cash,Tommy Walter,East,Small Business,Low,2024,7,3,6,Sunday,1,0,343,Summer,0,65+,17727.85,17727.85,1,2024-07-28,2024-07-28,Premium,Premium,Low,19269.4,1541.5520000000001,1772.78,92.0,972699.08,2018.05,482,3075,2107.87,3,1,5,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0
TXN000031,2024-10-16,Jessica Smith,landryhannah@example.org,41,Sports,Bicycle,9,349.69,28.2,2259.7,Cash,Michele Williams,North,Enterprise,High,2024,10,4,2,Wednesday,0,0,423,Fall,0,36-50,2259.7,2259.7,1,2024-10-16,2024-10-16,High,Premium,High,3147.21,887.5132199999999,251.08,71.8,874402.51,1930.25,453,2939,2139.28,3,3,4,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1
TXN000032,2025-07-18,Jacob Tran,tanderson@example.com,53,Books,Textbook,5,45.5,20.0,182.0,Bank Transfer,Cristian Santos,South,Small Business,Urgent,2025,7,3,4,Friday,0,0,698,Summer,0,51-65,182.0,182.0,1,2025-07-18,2025-07-18,Low,Mid-Range,Medium,227.5,45.5,36.4,80.0,1050434.85,2117.81,496,3267,2108.51,5,5,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
TXN000033,2025-04-16,Valerie Williams,jason31@example.com,57,Clothing,Jacket,1,101.6,6.3,95.2,Paypal,Dylan Miller,West,Enterprise,Medium,2025,4,2,2,Wednesday,0,0,605,Spring,0,51-65,95.2,95.2,1,2025-04-16,2025-04-16,Low,Budget,Low,101.6,6.400799999999999,95.2,93.7,973103.11,2129.33,457,2950,2047.51,5,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
TXN000034,2025-05-02,Shelly Dickson,sarayoung@example.org,58,Books,Biography,12,21.88,2.5,256.0,Credit Card,Matthew Foster,South,Enterprise,High,2025,5,2,4,Friday,0,0,621,Spring,0,51-65,256.0,256.0,1,2025-05-02,2025-05-02,Low,Budget,Low,262.56,6.564,21.33,97.5,1022438.71,2078.13,492,3240,2108.51,5,4,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
TXN000035,2023-12-21,Sierra Johnson,kimberly63@example.com,40,Clothing,Shorts,8,189.21,23.1,1164.02,Paypal,Brian Ramirez,West,Individual,Medium,2023,12,4,3,Thursday,0,0,123,Winter,1,36-50,1164.02,1164.02,1,2023-12-21,2023-12-21,High,Mid-Range,High,1513.68,349.66008000000005,145.5,76.9,1074734.73,2229.74,482,3080,2047.51,1,3,3,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0
TXN000036,2024-04-13,Ashley Brennan,dwalker@example.com,75,Electronics,Monitor,7,476.74,24.1,2532.92,Credit Card,Derek Zuniga,South,Individual,Urgent,2024,4,2,5,Saturday,1,0,237,Spring,0,65+,2532.92,2532.92,1,2024-04-13,2024-04-13,High,Budget,High,3337.1800000000003,804.2603800000002,361.85,75.9,981316.26,2079.06,472,3127,2108.51,2,2,4,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0
TXN000037,2025-04-11,Shelby Walker,raymondramirez@example.org,80,Clothing,Shorts,9,184.7,28.5,1188.54,Paypal,Derek Zuniga,West,Individual,Urgent,2025,4,2,4,Friday,0,0,600,Spring,0,65+,1188.54,1188.54,1,2025-04-11,2025-04-11,High,Mid-Range,High,1662.3,473.7554999999999,132.06,71.5,981316.26,2079.06,472,3127,2047.51,5,4,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
TXN000038,2024-11-12,Martin Ross,sheila14@example.org,51,Sports,Yoga Mat,5,387.59,15.6,1635.63,Paypal,Angie Henderson,East,Individual,High,2024,11,4,1,Tuesday,0,0,450,Fall,1,51-65,2447.27,1223.64,2,2024-02-28,2024-11-12,High,Premium,Medium,1937.9499999999998,302.32019999999994,327.13,84.4,956042.28,1931.4,495,3172,2107.87,4,5,4,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0
TXN000039,2024-07-23,Deborah Rodriguez,yreed@example.com,24,Home & Garden,Plant,3,204.23,20.8,485.25,Paypal,Michele Williams,East,Enterprise,Urgent,2024,7,3,1,Tuesday,0,0,338,Summer,0,18-25,485.25,485.25,1,2024-07-23,2024-07-23,Medium,Budget,High,612.6899999999999,127.43952,161.75,79.2,874402.51,1930.25,453,2939,2107.87,3,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
TXN000040,2024-09-26,Kayla Cruz,jonathanfletcher@example.org,64,Sports,Basketball,10,474.11,0.6,4712.65,Paypal,Allison Hill,East,Small Business,Urgent,2024,9,3,3,Thursday,0,0,403,Fall,0,51-65,4712.65,4712.65,1,2024-09-26,2024-09-26,Premium,Premium,Low,4741.1,28.446600000000004,471.26,99.4,1083710.87,2248.36,482,3190,2107.87,3,3,5,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0
TXN000041,2025-08-04,Kimberly Ball,michaeljones@example.net,78,Sports,Bicycle,10,450.95,14.6,3851.11,Credit Card,Lisa Hensley,East,Enterprise,Urgent,2025,8,3,0,Monday,0,0,715,Summer,0,65+,3851.11,3851.11,1,2025-08-04,2025-08-04,Premium,Premium,Medium,4509.5,658.387,385.11,85.4,869168.25,1970.9,441,2901,2107.87,5,4,5,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1
TXN000042,2025-02-11,Erik Charles,william65@example.com,19,Clothing,Shorts,10,167.23,27.2,1217.43,Credit Card,Margaret Hawkins Dds,West,Individual,Urgent,2025,2,1,1,Tuesday,0,0,541,Winter,0,18-25,1217.43,1217.43,1,2025-02-11,2025-02-11,High,Mid-Range,High,1672.3,454.86560000000003,121.74,72.8,1074806.64,2202.47,488,3142,2047.51,4,5,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
TXN000043,2024-11-04,Cameron Fisher,lbyrd@example.net,69,Clothing,T-Shirt,8,108.15,22.8,667.93,Cash,Angie Henderson,West,Individual,Low,2024,11,4,0,Monday,0,0,442,Fall,1,65+,667.93,667.93,1,2024-11-04,2024-11-04,Medium,Mid-Range,High,865.2,197.2656,83.49,77.2,956042.28,1931.4,495,3172,2047.51,4,3,3,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
TXN000044,2024-04-26,Joshua Smith,jason99@example.net,18,Home & Garden,Lamp,11,56.2,0.9,612.64,Bank Transfer,Cristian Santos,South,Individual,Urgent,2024,4,2,4,Friday,0,0,250,Spring,0,18-25,612.64,612.64,1,2024-04-26,2024-04-26,Medium,Budget,Low,618.2,5.563800000000001,55.69,99.1,1050434.85,2117.81,496,3267,2108.51,2,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
TXN000045,2023-12-29,Jeremy Lewis,yleon@example.net,30,Electronics,Camera,5,1545.45,5.0,7340.89,Debit Card,Ryan Munoz,North,Enterprise,Low,2023,12,4,4,Friday,0,0,131,Winter,1,26-35,7340.89,7340.89,1,2023-12-29,2023-12-29,Premium,Premium,Low,7727.25,386.3625,1468.18,95.0,1022796.97,2180.8,469,3143,2139.28,1,5,5,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1
TXN000046,2025-05-07,Diane Beck,clarence34@example.org,47,Home & Garden,Bedding,7,754.64,5.9,4970.81,Credit Card,Ethan Adams,East,Enterprise,Low,2025,5,2,2,Wednesday,0,0,626,Spring,0,36-50,4970.81,4970.81,1,2025-05-07,2025-05-07,Premium,Premium,Low,5282.48,311.66632,710.12,94.1,1011704.63,2208.96,458,3016,2107.87,5,1,5,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
TXN000048,2025-01-10,Mark Lee,psnyder@example.org,75,Sports,Tennis Racket,5,315.64,27.6,1142.62,Paypal,Tommy Walter,Central,Small Business,High,2025,1,1,4,Friday,0,0,509,Winter,0,65+,1142.62,1142.62,1,2025-01-10,2025-01-10,High,Mid-Range,High,1578.1999999999998,435.5832,228.52,72.4,972699.08,2018.05,482,3075,2202.89,4,4,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000049,2024-09-25,Stephanie Dalton,osbornejeffery@example.net,64,Clothing,Shorts,8,84.5,13.9,582.04,Cash,Allison Hill,West,Small Business,Medium,2024,9,3,2,Wednesday,0,0,402,Fall,0,51-65,582.04,582.04,1,2024-09-25,2024-09-25,Medium,Budget,Medium,676.0,93.96400000000001,72.76,86.1,1083710.87,2248.36,482,3190,2047.51,3,4,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
TXN000050,2024-10-05,Justin Lowery,bryantlaurie@example.net,17,Sports,Tennis Racket,5,442.55,21.0,1748.07,Bank Transfer,Abigail Shaffer,North,Individual,Urgent,2024,10,4,5,Saturday,1,0,412,Fall,0,18-25,1748.07,1748.07,1,2024-10-05,2024-10-05,High,Premium,High,2212.75,464.6775,349.61,79.0,984709.16,2077.45,474,3046,2139.28,3,1,4,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0
TXN000052,2024-08-30,Scott Cole,maryramirez@example.net,48,Books,Cookbook,9,33.16,21.1,235.47,Debit Card,Daniel Wagner,South,Small Business,Low,2024,8,3,4,Friday,0,0,376,Summer,0,36-50,235.47,235.47,1,2024-08-30,2024-08-30,Low,Budget,High,298.43999999999994,62.970839999999995,26.16,78.9,1094357.58,2237.95,489,3176,2108.51,3,3,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
TXN000053,2023-10-21,Denise Jones,jimmy55@example.net,52,Books,Manual,8,29.35,17.7,193.24,Credit Card,Abigail Shaffer,East,Individual,High,2023,10,4,5,Saturday,1,0,62,Fall,0,51-65,193.24,193.24,1,2023-10-21,2023-10-21,Low,Budget,Medium,234.8,41.5596,24.16,82.3,984709.16,2077.45,474,3046,2107.87,1,3,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
TXN000054,2025-02-18,Anonymous Customer,edwardreyes@example.org,32,Clothing,Dress,5,27.97,1.6,137.61,Paypal,Daniel Wagner,North,Enterprise,High,2025,2,1,1,Tuesday,0,0,548,Winter,0,26-35,137.61,137.61,1,2025-02-18,2025-02-18,Low,Budget,Low,139.85,2.2376,27.52,98.4,1094357.58,2237.95,489,3176,2139.28,4,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
TXN000055,2024-06-17,Jason Rivera,nperry@example.com,24,Sports,Weights,1,141.19,25.9,104.62,Paypal,Brian Ramirez,North,Enterprise,Low,2024,6,2,0,Monday,0,0,302,Summer,0,18-25,104.62,104.62,1,2024-06-17,2024-06-17,Low,Budget,High,141.19,36.56821,104.62,74.1,1074734.73,2229.74,482,3080,2139.28,3,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
TXN000056,2025-03-27,Lauren Dominguez,wwoods@example.com,44,Clothing,Jeans,2,298.27,3.6,575.06,Bank Transfer,Lisa Hensley,West,Small Business,High,2025,3,1,3,Thursday,0,0,585,Spring,0,36-50,575.06,575.06,1,2025-03-27,2025-03-27,Medium,Premium,Low,596.54,21.475440000000003,287.53,96.4,869168.25,1970.9,441,2901,2047.51,5,5,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
TXN000057,2023-09-11,Steven Houston,tracynelson@example.com,43,Books,Biography,10,77.21,3.0,748.94,Cash,Patty Perez,North,Individual,Medium,2023,9,3,0,Monday,0,0,22,Fall,0,36-50,748.94,748.94,1,2023-09-11,2023-09-11,Medium,Premium,Low,772.0999999999999,23.162999999999997,74.89,97.0,1050508.21,2254.31,466,3003,2139.28,1,5,3,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0
TXN000058,2024-10-07,Michael Yates,marycalhoun@example.net,74,Clothing,Jacket,5,24.3,8.6,111.05,Credit Card,Patty Perez,South,Small Business,Medium,2024,10,4,0,Monday,0,0,414,Fall,0,65+,111.05,111.05,1,2024-10-07,2024-10-07,Low,Budget,Low,121.5,10.449,22.21,91.4,1050508.21,2254.31,466,3003,2108.51,3,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
TXN000059,2024-01-08,James Elliott,millerroy@example.com,55,Sports,Basketball,5,416.78,2.1,2040.14,Bank Transfer,Tommy Walter,Central,Small Business,Urgent,2024,1,1,0,Monday,0,0,141,Winter,0,51-65,2040.14,2040.14,1,2024-01-08,2024-01-08,High,Premium,Low,2083.8999999999996,43.7619,408.03,97.9,972699.08,2018.05,482,3075,2202.89,1,4,4,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0
TXN000060,2024-03-02,James Lewis,matthew64@example.com,21,Electronics,Headphones,5,1025.92,14.8,4370.42,Paypal,Tommy Walter,East,Enterprise,High,2024,3,1,5,Saturday,1,0,195,Spring,0,18-25,4370.42,4370.42,1,2024-03-02,2024-03-02,Premium,Mid-Range,Medium,5129.6,759.1808000000002,874.08,85.2,972699.08,2018.05,482,3075,2107.87,2,3,5,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
TXN000061,2023-10-12,Julie Curry,cookemichael@example.net,50,Electronics,Laptop,10,1194.89,0.6,11877.21,Bank Transfer,Noah Rhodes,South,Small Business,Urgent,2023,10,4,3,Thursday,0,0,53,Fall,0,36-50,11877.21,11877.21,1,2023-10-12,2023-10-12,Premium,Mid-Range,Low,11948.900000000001,71.69340000000001,1187.72,99.4,1008819.61,2212.32,456,2935,2108.51,1,1,5,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0
